Name,Details,Files,Action,"Fixed Version","Created by","Last edited by","Created time",Priority,"How many user experienced"
"Slug issue","During slug generation for course URLs, we observed inconsistent handling of non-Latin characters, particularly for Korean and Japanese titles. In tests: Korean-only examples (completely removed): 1. “캔바 강의” → Slug becomes: (empty) 2. “썸네일 디자인 2025” → Slug becomes: 2025. Japanese-only examples (partially preserved or removed): 1. “サムネイル講座” → Slug becomes: 講座 2. “デザイン講義2025” → Slug becomes: 講義2025. It appears that Korean Hangul is entirely stripped during slug generation, while Japanese Kanji characters are partially retained, but Katakana and Hiragana are often removed.",,Done,,U07ACRUL5N1,U018QTESVGC,"7/16/25, 1:19 PM",,0
"Authorize.net payment gateway is not auto-completing order","Authorize.net payment gateway is not auto-completing order on site even though the mail receipt says order approved.

https://streamable.com/58n5a6",,Done,,U07ACRUL5N1,U018QTESVGC,"4/28/26, 7:33 PM","Hight Priority",0
"Q&A API Formatting (Bold, Italic, Links, Line Breaks)","In Q&A API these HTML tags are not supported please introduce support for these tag as these are allowed from the frontend.",,Done,,U029V6VAVSP,U018QTESVGC,"3/30/26, 5:17 PM",Mid,0
"Tutor LMS video player for Youtube","The portrait videos are showing cropped when the video is played https://prnt.sc/s56_UULFWsdd, https://prnt.sc/7jgDSxurkPHh",,Rejected,,U07ACRUL5N1,U018QTESVGC,"4/2/26, 1:41 PM",Mid,0
"Request to correction in browser notification confirmation popup text","One of our customers reached out because they noticed a few typos in popup that appears when a user signs up for notifications. Currently, message says, “Thanks! Please make sure browser notification is enbled in notification settings” which has a typo in “enbled” and feels a little off grammatically. They have requested that we update these text in our next release.

_*Requested fix:*_ *“Thanks! Please make sure browser notifications are enabled in notification settings.”*

Screenshot: https://drive.google.com/file/d/1T1cMe5qQIo_MiKh3KE5NCE4FTHBIQ-HQ/view",,Done,,U07A949N6VC,U018QTESVGC,"4/5/26, 9:43 AM",Mid,0
"Incorrect Badge number of Tutor LMS orders submenu item","In Tutor LMS, the badge number shown in the *Orders submenu* counts all unpaid orders, even if those orders have been moved to the trash.

The badge count includes *unpaid orders* regardless of their status
Orders in *trash* are still counted if their payment status remains unpaid
• This results in an i*naccurate badge count*
The badge count should only include *active unpaid orders*
• Orders in *trash or cancelled status* should be excluded from the count
",,Done,,U07AFKF2R19,U018QTESVGC,"4/7/26, 1:37 AM","Hight Priority",0
"URGENT: Course Access & Redirection Issue (Wellthrive)","In *Tutor LMS themes*, courses marked as *“Public Course”* are *not accessible without login.* However, with a *standard/non-Tutor theme*, the same courses work correctly and are accessible without registration

Additional Issue:
• After purchasing a course and logging in, users are *redirected to the dashboard*
• Instead of being redirected back to the *intended course page*
Impact:
:exclamation: Breaks expected “public course” functionality
:exclamation: Blocks user access flow completely
:exclamation: Causes major *drop-offs and prevents site launch*

Expected Behavior:
• Public courses should be *accessible without login*
• After login/purchase, users should be *redirected back to the selected course*
Please prioritize this as it is *critical for live sites and user onboarding flow*.",,Rejected,,U07B4GNP7RN,U018QTESVGC,"4/8/26, 1:26 PM","Hight Priority",0
"Tutor Video Player forward or backward seek not working on IOS","https://vastuland.ru/wp-admin/
username : vastu-test
pass: xaol$c95Nk@%N@j7MSIBYxn$

https://vastuland.ru/courses/prakticheskii-master-klass-vastu-navigator-petra-yutki[…]e-uchastnikov-shagi-12-algoritma-vastu-navigator-dlya-kvartir/",,Feature,,U07ACRUL5N1,U018QTESVGC,"4/15/26, 4:08 PM",High,0
"Content Bank Elements Not Syncing with Courses After Update","*Issue Summary:*
Content Bank elements are not automatically updating inside courses after being modified in the Content Bank. This creates inconsistency between the source content and what is displayed to students.

*Steps to Reproduce:*
1. Create a content element (e.g., lesson/quiz content) in the Content Bank
2. Insert/use that Content Bank element inside a course
3. Publish and verify it appears correctly in the course
4. Go back to Content Bank and modify/update the same element
5. Revisit the course where the element was used
*Expected Behavior:*
Updates made in the Content Bank should automatically reflect in all courses where that element is used (dynamic sync behavior).

*Actual Behavior:*
• The course still shows the old version of the element
• No automatic update or sync occurs
• No option available to refresh/re-sync the element manually
",,Accepted,,U07B4GNP7RN,U018QTESVGC,"4/15/26, 11:31 PM","Hight Priority",0
"Content Drip “Require Passing Grade” Not Enforced","“Require passing grade” is not enforced when using the content drip type *“Course content unlocked after finishing prerequisites.”*

*Steps to Reproduce:*
Create a course with lessons and a quiz
1. Enable *Content Drip → “Course content unlocked after finishing prerequisites”*
*Expected Result:*
User should NOT be able to access the next content without passing the quiz.
*Actual Result:*
User can proceed to the next content even without achieving the passing grade.
*Notes:*
• Works correctly with *Sequential drip type*
• Issue seems specific to this drip type + default feedback mode combination
",,Rejected,,U07B4GNP7RN,U018QTESVGC,"4/18/26, 11:43 AM","Hight Priority",0
"Add to Cart Fails with Droip Templates (Guest Users) With Woocommerce","“Add to Cart” fails when using Droip-based templates for course/archive pages while using woocommerce. The issue occurs specifically for *guest users* and results in a *500 AJAX error*. Error originates from Droip themes inside Tutor LMS.

*Steps to Reproduce:*
• Use a Droip-based template
• Ensure WooCommerce is enabled with guest checkout
• Visit the course archive page as a *logged-out user*
• Click *“Add to Cart”* on any course
*Expected Result:*
Course should be added to cart successfully without errors.

*Actual Result:*
• AJAX request fails with *500 error*
• Console shows: `ERR_BAD_RESPONSE`
• Add to cart does not work
• Error triggered from:
`/tutor/includes/droip/backend/Ajax.php:79`
• PHP Fatal Error:
`Cannot use object of type stdClass as array`",,Rejected,,U07B4GNP7RN,U018QTESVGC,"4/18/26, 12:03 PM","Hight Priority",0
"Tutor LMS Assignment Addon Imrpovement","When a student selects assignment files one at a time (clicking ""Choose file"" multiple times rather than multi-selecting in a single dialog), only the last file chosen is actually uploaded. The preview UI incorrectly shows all files, leading students to believe all files will be submitted.

As a student, open an assignment submission page

• Click ""Choose file"" → select one file → Open Click ""Choose file"" again → select a different file → Open Preview shows both files. Submit the assignment. 
• Only the second file is uploaded. 
• Expected: All files shown in the preview should be uploaded, OR the preview should reflect that only the latest selection will be submitted.
It has been an issue since Tutor LMS 2.0.",,Feature,,U07ACRUL5N1,U018QTESVGC,"4/19/26, 3:53 PM",Mid,0
"Incorrect Countdown Timing for Google Meet Sessions (Using End Time Instead of Start Time)","The Google Meet meeting countdown is displaying incorrect timing. Currently, the countdown is calculated based on the meeting’s end time rather than the scheduled start time. As a result, users are seeing inaccurate countdown information before the session begins.",,Done,,U07AFKF2R19,U018QTESVGC,"4/21/26, 11:47 AM","Hight Priority",0
"Assignment submission emails do not follow the updated course author after reassignment","If the original course author assigns the course to another instructor as the new main author, the “Student Submitted Assignment” email does not work as expected.

When a student submits an assignment, the email does not sent to the updated course author. Instead, the system does not properly recognize the new author after the change, so the email is not triggered correctly and does not go to the updated instructor.

Ideally, the assignment submission email should always follow the current main course author, but this is not reflecting properly after the author is changed.",,Accepted,,U07AFKF2R19,U018QTESVGC,"4/28/26, 5:12 PM",High,0
"Ordering Question Answers Are Not Shuffled on Frontend","The Ordering question type in Tutor LMS currently displays answer items on the frontend in the exact same order they are entered in the backend.
As a result, learners can see the correct sequence immediately without needing to rearrange the items, which defeats the purpose of the ordering assessment.
Steps to Reproduce:
1. Create a quiz with an Ordering question.
2. Enter answers in the correct order from backend.
3. Open the quiz on frontend as a student.
Current Behaviour:
Answers are displayed in the same order as entered in backend.
Expected Behaviour:
Answers should be shuffled/randomised on frontend while maintaining the correct order internally for validation and grading.",,Done,,U07B4GNP7RN,U018QTESVGC,"5/11/26, 10:21 PM","Hight Priority",0
"WPML translation issue one user live site he want's it to be fixed","On user website he can not translate course builder text with WPML , we have to fix his site translation issue.

Ticket link: https://tutorlms.com/account/tickets/?nocache=1774843964#/30258?back_to=P2Fzc2lnbm1lbnRfdHlwZT1taW5l",,Done,,U029V6VAVSP,U018QTESVGC,"3/30/26, 4:04 PM","Hight Priority",0
"( Rest API ) Any instructor can access the other Instructor courses and can edit other course content too which is vulnerable.","*Affected Endpoint:*
POST `/wp-json/wp/v2/courses/{course_id}` 

I*ssue Summary:*
An authenticated instructor is able to update course details of other instructors by directly referencing the course ID. The API validates authentication (session + nonce) but does not enforce object-level authorization to verify whether the requesting user is the owner or has permission to modify the specific course.

This results in a Broken Object Level Authorization (BOLA / IDOR) vulnerability.
Steps to Reproduce: Log in as an Instructor in Tutor LMS Capture wpApiSettings nonce from page source Intercept the request using Burp Suite

*Send the following request:* POST /wp-json/wp/v2/courses/2091 HTTP/1.1 Host: dev.kankerpayudara.id Content-Type: application/json X-WP-Nonce: Cookie:
{“title”:“IDOR-POC-Modified-By-Instructor”}
Observed Behavior: The server returns a success response and the course title is updated, even though the course belongs to another instructor.
*Expected Behavior:* The server should return a 403 Forbidden response if the authenticated user is not the owner (or does not have explicit permission) to modify the specified course.",,Done,,U029V6VAVSP,U018QTESVGC,"6/2/26, 12:04 PM",Mid,0
